# BASE TAG_all TGA_all TAA_all tag_minus_all_mean_cds tga_minus_all_mean_cds taa_minus_all_mean_cds
# colour 0:0:0 230:25:75 60:180:75 0:130:200 255:225:25 145:30:180
# label TAG_all TGA_all TAA_all tag_minus_all_mean_cds tga_minus_all_mean_cds taa_minus_all_mean_cds
# name black red green blue yellow purple
1001 36.0 27.0 85.0 2.25 3.0 -4.25
1002 36.0 27.0 85.0 2.25 3.0 -4.25
1003 36.0 27.0 85.0 2.25 3.0 -4.25
1004 36.0 27.0 85.0 2.25 3.0 -4.25
1005 36.0 27.0 85.0 2.25 3.0 -4.25
1006 36.0 27.0 85.0 2.25 3.0 -4.25
1007 36.0 27.0 85.0 2.25 3.0 -4.25
1008 36.0 27.0 85.0 2.25 3.0 -4.25
1009 36.0 27.0 85.0 2.25 3.0 -4.25
1010 36.0 27.0 85.0 2.25 3.0 -4.25
1011 36.0 27.0 85.0 2.25 3.0 -4.25
1012 36.0 27.0 85.0 2.25 3.0 -4.25
1013 36.0 27.0 85.0 2.25 3.0 -4.25
1014 36.0 27.0 85.0 2.25 3.0 -4.25
1015 36.0 27.0 85.0 2.25 3.0 -4.25
1016 36.0 27.0 85.0 2.25 3.0 -4.25
1017 36.0 27.0 85.0 2.25 3.0 -4.25
1018 36.0 27.0 85.0 2.25 3.0 -4.25
1019 36.0 27.0 85.0 2.25 3.0 -4.25
1020 36.0 27.0 85.0 2.25 3.0 -4.25
1021 36.0 27.0 85.0 2.25 3.0 -4.25
1022 36.0 27.0 85.0 2.25 3.0 -4.25
1023 36.0 27.0 85.0 2.25 3.0 -4.25
1024 36.0 27.0 85.0 2.25 3.0 -4.25
1025 36.0 27.0 85.0 2.25 3.0 -4.25
1026 36.0 27.0 85.0 2.25 3.0 -4.25
1027 36.0 27.0 85.0 2.25 3.0 -4.25
1028 36.0 27.0 85.0 2.25 3.0 -4.25
1029 36.0 27.0 85.0 2.25 3.0 -4.25
1030 36.0 27.0 85.0 2.25 3.0 -4.25
1031 34.0 26.0 85.0 3.0 4.0 -5.666666666666671
1032 34.0 26.0 85.0 3.0 4.0 -5.666666666666671
1033 34.0 26.0 85.0 3.0 4.0 -5.666666666666671
1034 34.0 26.0 85.0 3.0 4.0 -5.666666666666671
1035 34.0 26.0 85.0 3.0 4.0 -5.666666666666671
1036 34.0 26.0 85.0 3.0 4.0 -5.666666666666671
1037 34.0 26.0 85.0 3.0 4.0 -5.666666666666671
1038 34.0 26.0 85.0 3.0 4.0 -5.666666666666671
1039 34.0 26.0 85.0 3.0 4.0 -5.666666666666671
1040 34.0 26.0 85.0 3.0 4.0 -5.666666666666671
1041 34.0 26.0 85.0 3.0 4.0 -5.666666666666671
1042 34.0 26.0 85.0 3.0 4.0 -5.666666666666671
1043 34.0 26.0 85.0 3.0 4.0 -5.666666666666671
1044 34.0 26.0 85.0 3.0 4.0 -5.666666666666671
1045 34.0 26.0 85.0 3.0 4.0 -5.666666666666671
1046 34.0 26.0 85.0 3.0 4.0 -5.666666666666671
