# BASE TAG_all TGA_all TAA_all tag_minus_all_mean_cds tga_minus_all_mean_cds taa_minus_all_mean_cds
# colour 0:0:0 230:25:75 60:180:75 0:130:200 255:225:25 145:30:180
# label TAG_all TGA_all TAA_all tag_minus_all_mean_cds tga_minus_all_mean_cds taa_minus_all_mean_cds
# name black red green blue yellow purple
1001 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1002 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1003 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1004 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1005 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1006 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1007 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1008 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1009 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1010 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1011 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1012 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1013 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1014 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1015 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1016 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1017 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1018 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1019 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1020 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1021 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1022 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1023 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1024 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1025 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1026 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1027 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1028 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1029 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1030 31.0 57.0 59.0 2.0 0.0 632.6666666666666
1031 31.0 57.0 59.0 0.0 0.0 0.0
1032 31.0 57.0 59.0 0.0 0.0 0.0
1033 31.0 57.0 59.0 0.0 0.0 0.0
